,Vial Site,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),Reagent5 (ul),Reagent6 (ul),Reagent7 (ul),Reagent8 (ul),Reagent9 (ul),Reagent10 (ul),Labware ID:,Reaction Parameters,Parameter Values,Reagents,Reagent Name,Reagent Identity,Reagent Concentration (uM),Liquid Class
42,E6,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
43,G6,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
44,B6,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
45,D6,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
46,F6,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
47,H6,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
48,A7,422.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
49,C7,410.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
50,E7,445.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
51,G7,433.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
52,B7,397.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,50,Symyx_96_well_0003,,,,,,,
53,D7,337.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,50,Symyx_96_well_0003,,,,,,,
54,F7,300.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,50,Symyx_96_well_0003,,,,,,,
55,H7,355.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,50,Symyx_96_well_0003,,,,,,,
56,A8,275.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,50,Symyx_96_well_0003,,,,,,,
57,C8,288.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,50,Symyx_96_well_0003,,,,,,,
58,E8,331.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,50,Symyx_96_well_0003,,,,,,,
59,G8,373.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,50,Symyx_96_well_0003,,,,,,,
60,B8,348.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,50,Symyx_96_well_0003,,,,,,,
61,D8,264.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,50,Symyx_96_well_0003,,,,,,,
62,F8,380.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,50,Symyx_96_well_0003,,,,,,,
63,H8,386.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,50,Symyx_96_well_0003,,,,,,,
64,A9,312.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,50,Symyx_96_well_0003,,,,,,,
65,C9,251.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,50,Symyx_96_well_0003,,,,,,,
66,E9,324.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,50,Symyx_96_well_0003,,,,,,,
67,G9,361.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,50,Symyx_96_well_0003,,,,,,,
68,B9,412.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
69,D9,416.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
70,F9,401.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
71,H9,420.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
72,A10,427.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
73,C10,424.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
74,E10,407.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
75,G10,430.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
76,B10,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,50,Symyx_96_well_0003,,,,,,,
77,D10,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,50,Symyx_96_well_0003,,,,,,,
78,F10,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,50,Symyx_96_well_0003,,,,,,,
79,H10,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,50,Symyx_96_well_0003,,,,,,,
80,A11,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,50,Symyx_96_well_0003,,,,,,,
81,C11,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,50,Symyx_96_well_0003,,,,,,,
82,E11,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,50,Symyx_96_well_0003,,,,,,,
83,G11,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,50,Symyx_96_well_0003,,,,,,,
84,B11,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,50,Symyx_96_well_0003,,,,,,,
85,D11,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,50,Symyx_96_well_0003,,,,,,,
86,F11,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,50,Symyx_96_well_0003,,,,,,,
87,H11,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,50,Symyx_96_well_0003,,,,,,,
88,A12,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
89,C12,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
90,E12,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
91,G12,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
92,B12,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
93,D12,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
94,F12,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
95,H12,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
