ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std
POOL-00011407,"InChI=1S/C11H22N2O2/c1-10(2,3)15-9(14)13-7-5-11(4,12)6-8-13/h5-8,12H2,1-4H3",CC1(N)CCN(C(=O)OC(C)(C)C)CC1,233.46270146812745,False,['343788-69-2'],0.1312475263
POOL-00004839,"InChI=1S/C11H20FNO3/c1-10(2,3)16-9(14)13-6-4-11(15,8-12)5-7-13/h15H,4-8H2,1-3H3",CC(C)(C)OC(=O)N1CCC(O)(CF)CC1,254.44551480532664,False,['1253929-32-6'],0.1403054461
POOL-00003458,"InChI=1S/C12H18N2O3/c1-12(2,3)11(15)14-8-6-7-13-10(17-5)9(8)16-4/h6-7H,1-5H3,(H,13,14,15)",COc1nccc(N=C(O)C(C)(C)C)c1OC,422.24918470336,False,['1171919-96-2'],0.1369335512
POOL-00005644,"InChI=1S/C12H17NO2/c1-9-4-3-5-10(6-9)7-11(8-13)12(14)15-2/h3-6,11H,7-8,13H2,1-2H3",COC(=O)C(CN)Cc1cccc(C)c1,336.1489335759842,False,['1038704-11-8'],0.1311416354
POOL-00025562,"InChI=1S/C12H22N2O4/c1-12(2,3)18-11(16)14-6-5-13-9(8-14)7-10(15)17-4/h9,13H,5-8H2,1-4H3",COC(=O)CC1CN(C(=O)OC(C)(C)C)CCN1,311.6894962569671,False,['183742-33-8'],0.1340294913
POOL-00005832,"InChI=1S/C12H24N2O2/c1-12(2,3)16-11(15)14-8-6-4-5-7-10(14)9-13/h10H,4-9,13H2,1-3H3",CC(C)(C)OC(=O)N1CCCCCC1CN,235.66348447575533,False,['889947-68-6'],0.1319788916
POOL-00006796,"InChI=1S/C10H20N2O3/c1-10(2,3)15-9(13)12-4-5-14-8(6-11)7-12/h8H,4-7,11H2,1-3H3",CC(C)(C)OC(=O)N1CCOC(CN)C1,225.19761551337928,False,['140645-53-0'],0.135662863
POOL-00005646,"InChI=1S/C12H17NO2/c1-9-5-3-4-6-10(9)7-11(8-13)12(14)15-2/h3-6,11H,7-8,13H2,1-2H3",COC(=O)C(CN)Cc1ccccc1C,336.1489335759842,False,['1038704-16-3'],0.1323217953
POOL-00041031,"InChI=1S/C12H15NO4/c1-8(14)6-12(15)13-10-7-9(16-2)4-5-11(10)17-3/h4-5,7H,6H2,1-3H3,(H,13,15)",COc1ccc(OC)c(N=C(O)CC(C)=O)c1,440.13181106160096,False,['6375-27-5'],0.1320318081
POOL-00004753,"InChI=1S/C12H19NO3/c1-15-9-11(14)8-13-7-10-3-5-12(16-2)6-4-10/h3-6,11,13-14H,7-9H2,1-2H3",COCC(O)CNCc1ccc(OC)cc1,286.8202764171252,False,['188881-87-0'],0.1364314057
POOL-00009960,"InChI=1S/C12H24N2O3/c1-12(2,3)17-11(16)14-8-6-13(7-9-14)5-4-10-15/h15H,4-10H2,1-3H3",CC(C)(C)OC(=O)N1CCN(CCCO)CC1,242.62552112944837,False,['132710-90-8'],0.1336946702
POOL-00026448,"InChI=1S/C13H18N2O2/c1-16-12-5-4-11(10-13(12)17-2)6-9-15-8-3-7-14/h4-5,10,15H,3,6,8-9H2,1-2H3",COc1ccc(CCNCCC#N)cc1OC,385.49611912755387,False,['55982-97-3'],0.1435868141
POOL-00011504,"InChI=1S/C12H23NO5/c1-11(2,3)18-10(15)13-7-6-12(16-4,17-5)9(14)8-13/h9,14H,6-8H2,1-5H3",COC1(OC)CCN(C(=O)OC(C)(C)C)CC1O,295.3331202750551,False,['841286-80-4'],0.1395600718
POOL-00005653,"InChI=1S/C12H18N2O2/c1-8-6-5-7-9(13)10(8)14-11(15)16-12(2,3)4/h5-7H,13H2,1-4H3,(H,14,15)",Cc1cccc(N)c1N=C(O)OC(C)(C)C,385.7200542795412,False,['885270-79-1'],0.1341645946
POOL-00006170,"InChI=1S/C12H18N2O4/c1-12(2,3)18-11(15)14-8-6-13-7-9(16-4)10(8)17-5/h6-7H,1-5H3,(H,14,15)",COc1cncc(N=C(O)OC(C)(C)C)c1OC,438.19381778198,False,['1049677-55-5'],0.1330634347
POOL-00011712,"InChI=1S/C11H17NO4/c1-6-7-8(9(13)15-5)12-10(14)16-11(2,3)4/h1,8H,7H2,2-5H3,(H,12,14)",C#CCC(N=C(O)OC(C)(C)C)C(=O)OC,308.92670218633583,False,['173306-82-6'],0.1372035786
POOL-00017046,"InChI=1S/C10H13NO3S/c1-5-6(2)15-9(11-7(3)12)8(5)10(13)14-4/h1-4H3,(H,11,12)",COC(=O)c1c(N=C(C)O)sc(C)c1C,416.5471458609235,False,['295347-64-7'],0.1389798451
POOL-00005265,"InChI=1S/C11H16N2O2/c1-2-15-11(14)5-7-13-9-10-4-3-6-12-8-10/h3-4,6,8,13H,2,5,7,9H2,1H3",CCOC(=O)CCNCc1cccnc1,287.89921255922354,False,['1040688-05-8'],0.1370287752
POOL-00018239,"InChI=1S/C10H15NO2S/c1-5(2)13-10(12)8-6(3)7(4)14-9(8)11/h5H,11H2,1-4H3",Cc1sc(N)c(C(=O)OC(C)C)c1C,355.2491259917208,False,['350988-44-2'],0.1419009635
POOL-00005934,"InChI=1S/C12H24N2O3/c1-12(2,3)17-11(15)14-7-5-10(9-14)13-6-8-16-4/h10,13H,5-9H2,1-4H3",COCCNC1CCN(C(=O)OC(C)(C)C)C1,250.62552112944832,False,['887587-33-9'],0.131718705
POOL-00034609,"InChI=1S/C11H18N2O3/c1-4-7-13(8-5-2)11(15)12-9-10(14)16-6-3/h4-5H,1-2,6-9H2,3H3,(H,12,15)",C=CCN(CC=C)C(O)=NCC(=O)OCC,264.4032403280521,False,['78154-03-7'],0.1411481967
POOL-00025530,"InChI=1S/C9H18N2O2S/c1-9(2,3)13-8(12)11-6-14-5-7(11)4-10/h7H,4-6,10H2,1-3H3",CC(C)(C)OC(=O)N1CSCC1CN,215.34771887012133,False,['231248-13-8'],0.1367483438
POOL-00012910,"InChI=1S/C12H15NO3/c1-13(2)7-6-11(14)10-5-4-9(16-3)8-12(10)15/h4-8,15H,1-3H3",COc1ccc(C(=O)C=CN(C)C)c(O)c1,410.7249417817047,False,['73220-33-4'],0.1426479699
POOL-00006552,"InChI=1S/C13H20N2O3/c1-13(2,3)12(16)15-10-9(7-6-8-14-10)11(17-4)18-5/h6-8,11H,1-5H3,(H,14,15,16)",COC(OC)c1cccnc1N=C(O)C(C)(C)C,420.4896876030491,False,['824429-53-0'],0.1334560268
POOL-00031768,"InChI=1S/C10H15NO2S/c1-4-7-6(3)14-9(11)8(7)10(12)13-5-2/h4-5,11H2,1-3H3",CCOC(=O)c1c(N)sc(C)c1CC,344.13635186398074,False,['82546-91-6'],0.1407460239
