,Vial Site,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),Reagent5 (ul),Reagent6 (ul),Reagent7 (ul),Reagent8 (ul),Reagent9 (ul),Reagent10 (ul),Labware ID:,Reaction Parameters,Parameter Values,Reagents,Reagent Name,Reagent Identity,Reagent Concentration (uM),Liquid Class
62,F8,275.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,50,Symyx_96_well_0003,,,,,,,
63,H8,386.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,50,Symyx_96_well_0003,,,,,,,
64,A9,380.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,50,Symyx_96_well_0003,,,,,,,
65,C9,264.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,50,Symyx_96_well_0003,,,,,,,
66,E9,337.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,50,Symyx_96_well_0003,,,,,,,
67,G9,373.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,50,Symyx_96_well_0003,,,,,,,
68,B9,412.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
69,D9,420.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
70,F9,401.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
71,H9,407.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
72,A10,430.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
73,C10,427.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
74,E10,416.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
75,G10,424.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
76,B10,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,50,Symyx_96_well_0003,,,,,,,
77,D10,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,50,Symyx_96_well_0003,,,,,,,
78,F10,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,50,Symyx_96_well_0003,,,,,,,
79,H10,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,50,Symyx_96_well_0003,,,,,,,
80,A11,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,50,Symyx_96_well_0003,,,,,,,
81,C11,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,50,Symyx_96_well_0003,,,,,,,
82,E11,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,50,Symyx_96_well_0003,,,,,,,
83,G11,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,50,Symyx_96_well_0003,,,,,,,
84,B11,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,50,Symyx_96_well_0003,,,,,,,
85,D11,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,50,Symyx_96_well_0003,,,,,,,
