ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,sigma-price,sigma-avail,sigma-url
POOL-00013599,"InChI=1S/C14H14FNO/c1-16-10-11-4-2-3-5-14(11)17-13-8-6-12(15)7-9-13/h2-9,16H,10H2,1H3",CNCc1ccccc1Oc1ccc(F)cc1,481.8358125246547,False,['833482-53-4'],1.8307429517,1,,,
POOL-00003966,"InChI=1S/C13H9FN2O3/c14-10-7-4-8-11(16(18)19)12(10)13(17)15-9-5-2-1-3-6-9/h1-8H,(H,15,17)",O=[N+]([O-])c1cccc(F)c1C(O)=Nc1ccccc1,641.5915184751921,False,['870281-83-7'],1.8332607281,1,,,
POOL-00022654,"InChI=1S/C13H12F3NO2/c1-7-10(8-5-3-4-6-9(8)17-7)11(12(18)19-2)13(14,15)16/h3-6,11,17H,1-2H3",COC(=O)C(c1c(C)[nH]c2ccccc12)C(F)(F)F,615.8661217265973,False,['252729-32-1'],1.8233239082,1,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r267910
POOL-00033270,"InChI=1S/C14H12O2S/c15-14(16)12-8-4-5-9-13(12)17-10-11-6-2-1-3-7-11/h1-9H,10H2,(H,15,16)",O=C(O)c1ccccc1SCc1ccccc1,508.6404762859226,False,['1531-80-2'],1.9098529645,1,$106.00/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r415588
POOL-00001586,"InChI=1S/C13H10F5NOS/c14-21(15,16,17,18)10-6-7-12(19)11(8-10)13(20)9-4-2-1-3-5-9/h1-8H,19H2",Nc1ccc(S(F)(F)(F)(F)F)cc1C(=O)c1ccccc1,712.6528472935307,False,['1379811-86-5'],2.0282682682,1,,,
POOL-00007655,"InChI=1S/C13H7BrF3NO2/c14-6-1-4-10(9(16)5-6)18-12-7(13(19)20)2-3-8(15)11(12)17/h1-5,18H,(H,19,20)",O=C(O)c1ccc(F)c(F)c1Nc1ccc(Br)cc1F,691.5567530860632,False,['391212-04-7'],1.851386604,1,,,
POOL-00036619,"InChI=1S/C13H13NO3/c1-2-17-13(16)14-12-5-3-4-9-6-7-10(15)8-11(9)12/h3-8,15H,2H2,1H3,(H,14,16)",CCOC(O)=Nc1cccc2ccc(O)cc12,563.5931721470813,False,['68214-72-2'],1.8348529839,1,$28.60/25MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/l157740
POOL-00024483,"InChI=1S/C11H9FN2O2S/c1-17-11-13-6-9(10(15)16)14(11)8-4-2-7(12)3-5-8/h2-6H,1H3,(H,15,16)",CSc1ncc(C(=O)O)n1-c1ccc(F)cc1,551.0991160333468,False,['750598-95-9'],1.8252286154,1,,,
POOL-00006370,"InChI=1S/C14H17NO3/c1-3-4-8-18-13-7-5-6-11-10(13)9-12(15-11)14(16)17-2/h5-7,9,15H,3-4,8H2,1-2H3",CCCCOc1cccc2[nH]c(C(=O)OC)cc12,544.9627219182454,False,['887360-12-5'],1.8998900221,1,,,
POOL-00019125,"InChI=1S/C14H12N2O4/c17-14(15-12-4-2-1-3-5-12)20-10-11-6-8-13(9-7-11)16(18)19/h1-9H,10H2,(H,15,17)",O=[N+]([O-])c1ccc(COC(O)=Nc2ccccc2)cc1,608.8308469431789,False,['74109-32-3'],1.8663066949,1,$106.00/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s595365
POOL-00030567,"InChI=1S/C14H12O3/c15-9-12-6-7-13(8-14(12)16)17-10-11-4-2-1-3-5-11/h1-9,16H,10H2",O=Cc1ccc(OCc2ccccc2)cc1O,506.1307012815957,False,['52085-14-0'],1.8478859498,1,,,
POOL-00022944,"InChI=1S/C13H10O3S/c14-12(15)8-10-6-7-11(17-10)13(16)9-4-2-1-3-5-9/h1-7H,8H2,(H,14,15)",O=C(O)Cc1ccc(C(=O)c2ccccc2)s1,542.8020350046863,False,['33006-00-7'],1.8467690645,1,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r128821
POOL-00032347,"InChI=1S/C16H17NO2/c1-11-8-12(2)10-14(9-11)17-16(18)13-4-6-15(19-3)7-5-13/h4-10H,1-3H3,(H,17,18)",COc1ccc(C(=O)Nc2cc(C)cc(C)c2)cc1,567.9479703531082,False,['127291-98-9'],1.8720362643,1,$28.60/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r574570
POOL-00024469,"InChI=1S/C15H12F2O2S/c16-12-5-1-10(2-6-12)15(20-9-14(18)19)11-3-7-13(17)8-4-11/h1-8,15H,9H2,(H,18,19)",O=C(O)CSC(c1ccc(F)cc1)c1ccc(F)cc1,536.3274380634631,False,['90212-81-0'],1.8486749254,1,,,
POOL-00017306,"InChI=1S/C12H12N2O2S/c1-9(11(15)16)17-12-13-7-8-14(12)10-5-3-2-4-6-10/h2-9H,1H3,(H,15,16)",CC(Sc1nccn1-c1ccccc1)C(=O)O,510.23399740425407,False,['478046-20-7'],1.8378706023,1,,,
POOL-00024457,"InChI=1S/C15H14O2S/c16-14(17)11-18-15(12-7-3-1-4-8-12)13-9-5-2-6-10-13/h1-10,15H,11H2,(H,16,17)",O=C(O)CSC(c1ccccc1)c1ccccc1,456.91675548747065,False,['63547-22-8'],1.8253217852,1,$134.00/500 MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph011112
POOL-00019877,"InChI=1S/C15H14F3O2P/c16-15(17,18)14(19)11-21(20,12-7-3-1-4-8-12)13-9-5-2-6-10-13/h1-10,14,19H,11H2",O=P(CC(O)C(F)(F)F)(c1ccccc1)c1ccccc1,582.8719189998244,False,['123271-28-3'],1.9284776737,1,$28.60/10MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s179124
POOL-00023811,"InChI=1S/C16H19NO4/c1-10(18)11-6-8-12(9-7-11)17-15(19)13-4-2-3-5-14(13)16(20)21/h6-9,13-14H,2-5H2,1H3,(H,17,19)(H,20,21)",CC(=O)c1ccc(NC(=O)C2CCCCC2C(=O)O)cc1,549.9003333222288,False,['324061-21-4'],1.8800046919,1,,,
POOL-00023814,"InChI=1S/C13H8F5NO2S/c1-6-2-4-7(5-3-6)22(20,21)19-13-11(17)9(15)8(14)10(16)12(13)18/h2-5,19H,1H3",Cc1ccc(S(=O)(=O)Nc2c(F)c(F)c(F)c(F)c2F)cc1,805.4943336495639,False,['118841-85-3'],1.8627860621,1,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s169560
POOL-00020410,"InChI=1S/C16H13F4NO/c17-13-5-1-11(2-6-13)15(22)9-10-21-14-7-3-12(4-8-14)16(18,19)20/h1-8,21H,9-10H2",O=C(CCNc1ccc(C(F)(F)F)cc1)c1ccc(F)cc1,632.6905364961106,False,['477334-16-0'],1.8757712131,1,,,
POOL-00031741,"InChI=1S/C14H10FNO3/c15-10-2-4-11(5-3-10)16-14(17)9-1-6-12-13(7-9)19-8-18-12/h1-7H,8H2,(H,16,17)",O=C(Nc1ccc(F)cc1)c1ccc2c(c1)OCO2,625.0882452943695,False,['349415-30-1'],1.8806136676,1,,,
POOL-00018395,"InChI=1S/C15H9F6NO/c16-14(17,18)8-5-6-11(15(19,20)21)10(7-8)13(23)9-3-1-2-4-12(9)22/h1-7H,22H2",Nc1ccccc1C(=O)c1cc(C(F)(F)F)ccc1C(F)(F)F,748.3628131887975,False,['34186-96-4'],1.9949623645,1,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s879606
POOL-00002775,"InChI=1S/C13H11BrO4/c1-2-18-13(17)9-11(15)8-6-4-3-5-7(8)10(14)12(9)16/h3-6,15-16H,2H2,1H3",CCOC(=O)c1c(O)c(Br)c2ccccc2c1O,621.9076205717968,False,['100375-06-2'],1.8418155412,1,$134.00/1 MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph003600
POOL-00025197,"InChI=1S/C12H11F3N2S/c13-12(14,15)11-7-10(18-6-5-16)8-3-1-2-4-9(8)17-11/h1-4,7H,5-6,16H2",NCCSc1cc(C(F)(F)F)nc2ccccc12,554.5040870449965,False,['175203-50-6'],1.8502795725,1,,,
POOL-00022105,"InChI=1S/C15H14O5/c1-19-15(18)11-7-12(16)14(17)13(8-11)20-9-10-5-3-2-4-6-10/h2-8,16-17H,9H2,1H3",COC(=O)c1cc(O)c(O)c(OCc2ccccc2)c1,607.1609798510394,False,['79831-86-0'],1.8511054469,1,,,
POOL-00034996,"InChI=1S/C14H10N2O/c15-10-14(11-4-2-1-3-5-11)12-6-8-13(16-17)9-7-12/h1-9,17H",N#CC(=C1C=CC(=NO)C=C1)c1ccccc1,553.9898150707321,False,['888-39-1'],1.8486337791,1,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s350869
POOL-00033835,"InChI=1S/C13H9NO5/c15-13(16)9-1-5-11(6-2-9)19-12-7-3-10(4-8-12)14(17)18/h1-8H,(H,15,16)",O=C(O)c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,548.4356323972319,False,['16309-45-8'],1.8449902257,1,$56.00/1 G,"Estimated to ship on June 22, 2023
From MILWAUKEE",https://www.sigmaaldrich.com/US/en/product/aldrich/659479
POOL-00031521,"InChI=1S/C15H9F6NO/c16-14(17,18)10-5-11(15(19,20)21)7-12(6-10)22-8-9-3-1-2-4-13(9)23/h1-8,23H",Oc1ccccc1C=Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,701.2274524592627,False,['92175-89-8'],1.8650496554,1,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s649333
POOL-00018449,"InChI=1S/C13H16O4/c1-8(2)9(3)17-13(16)11-7-5-4-6-10(11)12(14)15/h4-9H,1-3H3,(H,14,15)",CC(C)C(C)OC(=O)c1ccccc1C(=O)O,423.1825683848336,False,['198284-10-5'],1.8437765855,1,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s793493
POOL-00032278,"InChI=1S/C15H9F6NO/c16-14(17,18)10-6-11(15(19,20)21)8-12(7-10)22-13(23)9-4-2-1-3-5-9/h1-8H,(H,22,23)",OC(=Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccccc1,686.7323399614263,False,['192049-16-4'],1.8472538541,1,$68.10/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/t109924
POOL-00018313,"InChI=1S/C14H10N2O3/c17-13(15-10-6-2-1-3-7-10)16-11-8-4-5-9-12(11)19-14(16)18/h1-9H,(H,15,17)",O=c1oc2ccccc2n1C(O)=Nc1ccccc1,800.1740705199901,False,['7039-00-1'],1.898888105,1,$106.00/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s816183
