ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,sigma-price,sigma-avail,sigma-url
POOL-00027030,"InChI=1S/C11H12N2OS/c1-6-4-7(2)10-9(5-6)15-11(13-10)12-8(3)14/h4-5H,1-3H3,(H,12,13,14)",CC(O)=Nc1nc2c(C)cc(C)cc2s1,538.7566519302076,False,['313262-36-1'],0.2069037754,2,$68.10/5MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/t323888
POOL-00034780,"InChI=1S/C13H15NO/c1-15-9-6-7-11-10-4-2-3-5-12(10)14-13(11)8-9/h6-8,14H,2-5H2,1H3",COc1ccc2c3c([nH]c2c1)CCCC3,498.4504164796091,False,['3382-43-2'],0.1713085315,2,$134.00/25 MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph007122
POOL-00038351,"InChI=1S/C15H13N/c1-2-6-12(7-3-1)10-13-11-16-15-9-5-4-8-14(13)15/h1-9,11,16H,10H2",c1ccc(Cc2c[nH]c3ccccc23)cc1,592.9131360866734,False,['16886-10-5'],0.1752861089,2,$172.00/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph011550
POOL-00032835,"InChI=1S/C12H16N2O/c1-7-5-9-10(6-8(7)2)14-11(13-9)12(3,4)15/h5-6,15H,1-4H3,(H,13,14)",Cc1cc2nc(C(C)(C)O)[nH]c2cc1C,467.0518558139957,False,['6761-75-7'],0.2227658329,2,$106.00/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s355852
POOL-00028832,"InChI=1S/C14H12N2O/c1-17-11-6-4-5-10(9-11)14-15-12-7-2-3-8-13(12)16-14/h2-9H,1H3,(H,15,16)",COc1cccc(-c2nc3ccccc3[nH]2)c1,624.8859092913606,False,['36677-36-8'],0.1946586174,2,$28.60/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/t135623
POOL-00012157,"InChI=1S/C12H16N2/c1-7(2)12-13-10-5-8(3)9(4)6-11(10)14-12/h5-7H,1-4H3,(H,13,14)",Cc1cc2nc(C(C)C)[nH]c2cc1C,427.37161939344094,False,['66073-79-8'],0.2004359845,2,$134.00/1 MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph004193
POOL-00026025,"InChI=1S/C14H15FN2O2/c1-2-19-14(18)17-6-5-13-11(8-17)10-7-9(15)3-4-12(10)16-13/h3-4,7,16H,2,5-6,8H2,1H3",CCOC(=O)N1CCc2[nH]c3ccc(F)cc3c2C1,635.6528269406912,False,['58038-66-7'],0.197866998,2,$134.00/10 MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph006826
POOL-00013290,"InChI=1S/C14H12N2S/c1-15-11-8-6-10(7-9-11)14-16-12-4-2-3-5-13(12)17-14/h2-9,15H,1H3",CNc1ccc(-c2nc3ccccc3s2)cc1,607.6359092913606,False,"['439858-28-3', '921193-28-4']",0.2415503346,2,$112.00/5 MG,"Available to ship on May 26, 2023
Details...",https://www.sigmaaldrich.com/US/en/product/sigma/b9934
POOL-00035353,"InChI=1S/C14H12N2S/c1-2-6-11(7-3-1)10-17-14-15-12-8-4-5-9-13(12)16-14/h1-9H,10H2,(H,15,16)",c1ccc(CSc2nc3ccccc3[nH]2)cc1,583.2133088796555,False,['51290-77-8'],0.2279130642,2,$172.00/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph000165
POOL-00028126,"InChI=1S/C13H18N2/c1-8-6-9(2)13-12(7-8)11(4-5-14)10(3)15-13/h6-7,15H,4-5,14H2,1-3H3",Cc1cc(C)c2[nH]c(C)c(CCN)c2c1,494.6955289774456,False,['1177283-46-3'],0.1998183994,2,,,
POOL-00028110,"InChI=1S/C12H7BrN2OS/c13-8-3-1-7(2-4-8)9-5-17-12-10(9)11(16)14-6-15-12/h1-6H,(H,14,15,16)",Oc1ncnc2scc(-c3ccc(Br)cc3)c12,678.5384186560647,False,['307512-24-9'],0.2276161004,2,$28.60/10MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r852570
