,DIMRED_FEAT_nn=50;md=0[dot]3_x,DIMRED_FEAT_nn=50;md=0[dot]3_y,DIMRED_FEAT_nn=50;md=0[dot]7_x,DIMRED_FEAT_nn=50;md=0[dot]7_y,DIMRED_CHEM_nn=50;md=0[dot]3_x,DIMRED_CHEM_nn=50;md=0[dot]3_y,DIMRED_CHEM_nn=50;md=0[dot]7_x,DIMRED_CHEM_nn=50;md=0[dot]7_y,ligand_label
13945,11.494584,5.9990373,10.794146,5.734249,5.959521,4.615445,7.128009,2.9824858,POOL-00033566
13946,-3.2990346,10.213007,-3.8907657,10.267747,4.4597216,3.579404,7.2012024,3.9894772,POOL-00024897
13947,0.8223534,6.5876136,1.9921516,5.485086,6.638631,7.643159,5.2882195,1.392276,POOL-00005550
13948,11.003829,10.695306,13.296851,12.129765,4.219037,9.333143,4.198902,4.3655696,POOL-00006446
13949,15.040423,11.679337,15.166409,10.018335,6.2648945,5.0311604,6.974875,3.6911113,POOL-00017402
13950,-3.724121,2.8701026,-4.905185,4.2265143,3.4412854,7.656531,5.5296974,0.69001144,POOL-00030253
13951,-1.7838696,11.334927,-2.1757023,11.810405,3.9832761,3.196359,8.063905,4.1841116,POOL-00035983
13952,-0.55588,9.63653,-0.042903494,9.614926,3.3686717,4.5742364,7.4669523,4.3525453,POOL-00041217
13953,4.1843095,10.963785,4.9724226,12.305903,5.085909,7.2121763,3.7752054,1.6638799,POOL-00038573
13954,10.672608,6.5423236,11.517002,5.70377,3.4226036,3.7783103,8.192257,4.3339806,POOL-00006853
13955,1.3798773,4.316019,2.9865391,2.510032,4.1991367,2.9416878,8.642529,4.5200686,POOL-00036725
13956,-1.4958576,6.945193,-1.1787964,5.8717074,4.3277783,2.8942873,8.692362,4.4647765,POOL-00011827
13957,10.356619,10.704558,10.986943,11.933015,3.9586096,3.0373096,8.390217,4.6269617,POOL-00014954
13958,9.723127,6.023028,10.13122,5.3074346,4.3181148,2.8368301,8.7397585,4.505777,POOL-00032014
13959,0.9690225,9.462377,1.4267533,9.498152,4.149113,2.9159548,8.587588,4.646702,POOL-00030853
13960,1.7021116,13.14485,0.8278461,14.700366,6.2186766,5.0090337,6.132225,1.6396333,POOL-00039873
13961,12.739306,7.507744,9.862858,8.774297,4.875814,3.6451812,1.2998389,2.7184377,POOL-00032128
13962,9.029552,6.5398903,8.914243,5.9168477,3.9855335,4.984916,7.4712267,4.3315377,POOL-00006411
13963,1.6529558,11.902234,1.404298,13.237084,4.2502775,8.583579,3.7274046,3.0557168,POOL-00020099
