PS0520_SL08_wellLabel,PS0520_SL08_wallTag,PS0520_SL08_PL_pos,PS0520_SL08_PL_pos_s,PS0520_SL08_PL_FWHM,PS0520_SL08_PL_FWHM_s,PS0520_SL08_PL_height,PS0520_SL08_PL_height_s,PS0520_SL08_PL_area,PS0520_SL08_PL_area_s,PS0520_SL08_PL_sum,PS0520_SL08_PL_OD390,'PS0520_SL08_PL_sum/OD390',PS0520_SL08_PL_ref_sum,PS0520_SL08_PL_ref_OD390,'PS0520_SL08_PL_ref_sum/OD390',PS0520_SL08_PL_FOM,PS0520_SL08_PL_sum_a,PS0520_SL08_PL_sum_b,PS0520_SL08_PL_OD390_a,PS0520_SL08_PL_OD390_b,'PS0520_SL08_PL_sum/OD390_a','PS0520_SL08_PL_sum/OD390_b',PS0520_SL08_PL_FOM_a,PS0520_SL08_PL_FOM_b,PS0520_SL08_conc
F4,1,506.425,0.121673,22.9316,0.484139,8188.47,475.07,294955,13285.4,99360,0.37245,266774,,,,0.896198,99360,,0.37245,,266774,,0.896198,,522
F5,1,507.607,0.273177,25.9435,1.14487,176.276,21.606,7183.56,688.314,3095,0.034118,,,,,,3095,,0.034118,,,,,,1482
F6,2,,,,,,,,,,,,,,,,,,,,,,,,0
F7,1,509.429,0.145174,21.3556,0.563307,31921.5,2301.46,1.07082e+06,59723.7,362142,1.18723,305031,,,,1.02472,,362142,,1.18723,,305031,,1.02472,4.8
F8,1,508.971,0.143575,21.9373,0.562485,42672.9,2996.72,1.47046e+06,79992.1,498082,1.11995,444737,,,,1.49405,,498082,,1.11995,,444737,,1.49405,45.8
F9,1,509.214,0.142786,21.5121,0.555467,38626.8,2727.65,1.30524e+06,71327.9,441571,1.19018,371013,,,,1.24638,,441571,,1.19018,,371013,,1.24638,132
F10,1,509.034,0.140916,21.6189,0.549155,40847.7,2838.66,1.38714e+06,74617.8,470391,1.16442,403969,,,,1.35709,,470391,,1.16442,,403969,,1.35709,312
F11,1,508.993,0.139145,21.446,0.54069,33844.5,2332.99,1.14013e+06,60810.6,387258,1.02443,378022,,,,1.26992,,387258,,1.02443,,378022,,1.26992,258
F12,2,,,,,,,,,,,,,,,,,,,,,,,,0
G1,1,509.192,0.143133,21.0671,0.552719,31185.2,2234.08,1.03198e+06,57153.2,349329,1.05176,332137,,,,1.11578,349329,,1.05176,,332137,,1.11578,,2
