'0421_SL4_wellLabel','0421_SL4_wallTag','0421_SL4_PL_pos','0421_SL4_PL_pos_s','0421_SL4_PL_FWHM','0421_SL4_PL_FWHM_s','0421_SL4_PL_height','0421_SL4_PL_height_s','0421_SL4_PL_area','0421_SL4_PL_area_s','0421_SL4_PL_sum','0421_SL4_PL_OD390','0421_SL4_PL_sum/OD390','0421_SL4_PL_ref','0421_SL4_PL_FOM','0421_SL4_PL_sum/OD390_a','0421_SL4_PL_sum/OD390_b','0421_SL4_PL_FOM_a','0421_SL4_PL_FOM_b','0421_SL4_conc'
G9,1,513.609,0.144306,20.1994,0.513338,2830.05,193.05,89795.0,4679.38,31776.0,1.31835,24102.8,,1.07819,,24102.8,,1.07819,10.6
G10,1,513.371,0.147595,20.3696,0.526057,4544.7,315.178,145414.0,7706.44,51291.0,1.31588,38978.4,,1.74362,,38978.4,,1.74362,98.0
G11,1,513.368,0.146465,20.4272,0.522396,5071.34,348.322,162724.0,8541.88,57367.0,1.31049,43775.3,,1.9582,,43775.3,,1.9582,162.0
G12,3,513.7,0.145969,20.2784,0.519787,2505.14,172.397,79796.7,4195.77,28205.0,1.29642,21756.0,,0.97321,,21756.0,,0.97321,0.0
H1,1,513.404,0.148021,20.3237,0.52729,2906.73,202.487,92795.6,4939.47,32735.0,1.29757,25228.0,,1.12852,25228.0,,1.12852,,23.8
H2,1,513.364,0.144991,20.2593,0.516074,2956.53,202.182,94086.3,4915.76,33256.0,1.30432,25496.9,,1.14055,25496.9,,1.14055,,27.6
H3,1,513.663,0.143798,20.188,0.511476,2538.6,172.633,80501.8,4182.06,28472.0,1.31075,21721.9,,0.971685,21721.9,,0.971685,,60.0
H4,1,513.09,0.146384,20.3323,0.521405,4327.35,297.96,138206.0,7271.47,48745.0,1.13848,42816.0,,1.91528,42816.0,,1.91528,,268.0
H5,1,513.088,0.143156,20.2065,0.509121,4548.34,307.597,144366.0,7458.44,51108.0,1.10516,46244.8,,2.06866,46244.8,,2.06866,,442.0
H6,2,,,,,,,,,,,,,,,,,,0.0
H7,1,513.555,0.14586,20.3127,0.519573,3112.94,213.791,99325.1,5212.32,35076.0,1.28219,27356.3,,1.22373,,27356.3,,1.22373,35.0
H8,1,513.579,0.144516,20.2234,0.514226,2857.5,195.041,90773.6,4733.45,32093.0,1.30595,24574.5,,1.09929,,24574.5,,1.09929,12.8
H9,1,513.477,0.14449,20.3108,0.514654,3870.95,263.355,123499.0,6420.05,43628.0,1.33891,32584.8,,1.45761,,32584.8,,1.45761,52.0
H10,1,513.34,0.144629,20.3969,0.515647,5556.98,377.275,178042.0,9237.62,62896.0,1.32213,47571.6,,2.12802,,47571.6,,2.12802,236.0
H11,1,513.277,0.146835,20.4764,0.523999,5805.55,399.064,186731.0,9810.63,65901.0,1.25288,52599.7,,2.35294,,52599.7,,2.35294,442.0
H12,2,,,,,,,,,,,,,,,,,,0.0
