ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,fisher-price,fisher-avail,fisher-url
POOL-00018169,"InChI=1S/C11H10N2O3/c12-4-3-11(14)13-6-8-1-2-9-10(5-8)16-7-15-9/h1-2,5H,3,6-7H2,(H,13,14)",N#CCC(O)=NCc1ccc2c(c1)OCO2,462.78774632124384,False,['341953-72-8'],0.1547967856,5,,,
POOL-00016362,"InChI=1S/C9H8BrN/c1-6-4-7-5-8(10)2-3-9(7)11-6/h2-5,11H,1H3",Cc1cc2cc(Br)ccc2[nH]1,389.362105189066,False,['1075-34-9'],0.1529107625,5,"$100.80
Each/1 g",Check Availability,https://www.fishersci.com/shop/products/5-bromo-2-methylindole-98-thermo-scientific/AC437560010#1075-34-9
POOL-00004188,"InChI=1S/C8H6N2O2S/c11-8(12)4-5-1-2-6-7(3-5)10-13-9-6/h1-3H,4H2,(H,11,12)",O=C(O)Cc1ccc2nsnc2c1,452.0956820681592,False,['55937-37-6'],0.1509369271,5,,,
POOL-00034757,"InChI=1S/C8H6N2O2S/c9-5-4-2-1-3-10-7(4)13-6(5)8(11)12/h1-3H,9H2,(H,11,12)",Nc1c(C(=O)O)sc2ncccc12,477.94880433128606,False,['58327-75-6'],0.1473354439,5,,,
POOL-00019787,"InChI=1S/C11H12N2O2/c12-4-1-5-13-9-2-3-10-11(8-9)15-7-6-14-10/h2-3,8,13H,1,5-7H2",N#CCCNc1ccc2c(c1)OCCO2,384.6645782912498,False,['757192-66-8'],0.152022424,5,,,
POOL-00007589,"InChI=1S/C8H10N2/c9-7-3-4-8-6(7)2-1-5-10-8/h1-2,5,7H,3-4,9H2",NC1CCc2ncccc21,244.76783657091428,False,['535935-84-3'],0.1495081501,5,,,
POOL-00006663,InChI=1S/C7H4BrNO2S/c8-7-6-5(4(3-9)12-7)10-1-2-11-6/h1-2H2,N#Cc1sc(Br)c2c1OCCO2,355.0237285817117,False,['884507-59-9'],0.1481337894,5,,,
POOL-00013912,InChI=1S/C8H5NO2/c10-8-7-4-2-1-3-6(7)5-9-11-8/h1-5H,O=c1oncc2ccccc12,427.7901458890864,False,['611-31-4'],0.2228810745,5,,,
POOL-00028710,"InChI=1S/C8H6N2O3/c11-7(12)4-1-2-5-6(3-4)10-8(13)9-5/h1-3H,(H,11,12)(H2,9,10,13)",O=C(O)c1ccc2nc(O)[nH]c2c1,475.1939168291226,False,['23814-14-4'],0.1495728737,5,,,
POOL-00018294,"InChI=1S/C8H12N2S/c9-8-10-6-4-2-1-3-5-7(6)11-8/h1-5H2,(H2,9,10)",N=c1[nH]c2c(s1)CCCCC2,270.7858571125163,False,['14292-44-5'],0.1471878929,5,,,
POOL-00036217,"InChI=1S/C10H12O2/c11-9-5-1-3-7-8(9)4-2-6-10(7)12/h1,3,5,10-12H,2,4,6H2",Oc1cccc2c1CCCC2O,293.8900954855593,False,['40771-26-4'],0.1535153381,5,,,
POOL-00014859,"InChI=1S/C8H7NOS/c1-9-6(5-10)4-8-7(9)2-3-11-8/h2-5H,1H3",Cn1c(C=O)cc2sccc21,399.0443807698052,False,['121933-60-6'],0.1518923436,5,,,
POOL-00014699,"InChI=1S/C13H14N2O/c14-8-7-13(16)15-12-6-5-10-3-1-2-4-11(10)9-12/h1-6,9H,7-8,14H2,(H,15,16)",NCCC(O)=Nc1ccc2ccccc2c1,520.0764503510019,False,['1283768-30-8'],0.165582898,5,,,
POOL-00029851,"InChI=1S/C10H10O2/c11-9-6-5-7-3-1-2-4-8(7)10(9)12/h1-6,9-12H",OC1C=Cc2ccccc2C1O,317.36954751006243,False,['7234-04-0'],0.1532475468,5,,,
POOL-00011044,"InChI=1S/C12H12O2/c13-8-12(14)11-6-5-9-3-1-2-4-10(9)7-11/h1-7,12-14H,8H2",OCC(O)c1ccc2ccccc2c1,437.0247044863922,False,['13603-65-1'],0.1550939799,5,,,
POOL-00011436,"InChI=1S/C10H8O3/c11-5-7-6-13-9-4-2-1-3-8(9)10(7)12/h1-4,6,11H,5H2",O=c1c(CO)coc2ccccc12,484.7389947562,False,['37770-89-1'],0.1517802688,5,,,
POOL-00000185,"InChI=1S/C9H7BrN2OS/c1-14-9-11-7-3-2-5(10)4-6(7)8(13)12-9/h2-4H,1H3,(H,11,12,13)",CSc1nc(O)c2cc(Br)ccc2n1,489.44080318470105,False,['174313-65-6'],0.1542787327,5,,,
POOL-00016296,"InChI=1S/C10H8N2/c1-11-9-3-4-10-8(7-9)5-6-12(10)2/h3-7H,2H3",[C-]#[N+]c1ccc2c(ccn2C)c1,460.1335820509052,False,['872526-29-9'],0.145412828,5,,,
POOL-00006927,InChI=1S/C7H4FNO/c8-5-1-2-7-6(3-5)9-4-10-7/h1-4H,Fc1ccc2ocnc2c1,355.1335934262615,False,['221347-71-3'],0.1594230114,5,,,
POOL-00038711,"InChI=1S/C11H15NO2/c1-2-12-7-9-8-13-10-5-3-4-6-11(10)14-9/h3-6,9,12H,2,7-8H2,1H3",CCNCC1COc2ccccc2O1,301.0939350317387,False,"['21398-66-3', '21404-81-9']",0.1503865659,5,,,
POOL-00040560,"InChI=1S/C9H9N/c1-2-4-9-7-10-6-5-8(9)3-1/h1-4,7H,5-6H2",C1=NCCc2ccccc21,263.1857057147737,False,['3230-65-7'],0.2066633509,5,,,
POOL-00041563,"InChI=1S/C12H14N2O2/c1-8(15)13-5-4-9-7-14-12-3-2-10(16)6-11(9)12/h2-3,6-7,14,16H,4-5H2,1H3,(H,13,15)",CC(O)=NCCc1c[nH]c2ccc(O)cc12,524.7983240404177,False,['1210-83-9'],0.1461034475,5,"$101.00
Each/100 mg",Check Availability,
POOL-00003610,"InChI=1S/C11H10N2/c1-2-4-9-7-11-10(13-8-9)5-3-6-12-11/h2-3,5-8H,1,4H2",C=CCc1cnc2cccnc2c1,434.7932541170636,False,['1246088-66-3'],0.1651439736,5,,,
POOL-00024562,"InChI=1S/C12H14N2O2/c15-7-3-6-13-12(16)11-8-9-4-1-2-5-10(9)14-11/h1-2,4-5,8,14-15H,3,6-7H2,(H,13,16)",OCCCN=C(O)c1cc2ccccc2[nH]1,469.4429988769886,False,['357616-16-1'],0.1468730703,5,,,
POOL-00038478,"InChI=1S/C9H6N2OS/c12-8-5-13-9-10-6-3-1-2-4-7(6)11(8)9/h1-4H,5H2",O=C1CSc2nc3ccccc3n21,503.2840527063324,False,['3042-01-1'],0.1741826558,5,,,
POOL-00025988,"InChI=1S/C12H10O4/c13-9-6-5-7-3-1-2-4-8(7)10(9)11(14)12(15)16/h1-6,11,13-14H,(H,15,16)",O=C(O)C(O)c1c(O)ccc2ccccc12,547.7100995255254,False,['624722-10-7'],0.1463492738,5,,,
POOL-00039472,"InChI=1S/C11H8O4/c12-9-3-1-2-6-4-8(11(14)15)10(13)5-7(6)9/h1-5,12-13H,(H,14,15)",O=C(O)c1cc2cccc(O)c2cc1O,545.5243731611331,False,['89-35-0'],0.151646582,5,,,
POOL-00011142,"InChI=1S/C8H16N2/c1-3-7-8(9-5-1)4-2-6-10-7/h7-10H,1-6H2",C1CNC2CCCNC2C1,87.82521876648653,False,['933687-81-1'],0.1477599109,5,,,
POOL-00037597,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)",O=C(O)CCCCC1SCC2N=C(O)NC21,308.43926728547405,False,"['57378-70-8', '157966-14-8', '1217481-41-8']",0.1556737731,5,,,
POOL-00006403,"InChI=1S/C9H8N2O3S2/c12-7-3-6(4-15-5-8(13)14)10-9-11(7)1-2-16-9/h1-3H,4-5H2,(H,13,14)",O=C(O)CSCc1cc(=O)n2ccsc2n1,575.3829399951469,False,['946666-76-8'],0.1568094821,5,,,
POOL-00004100,"InChI=1S/C15H11NO2/c17-14-10-15(18)16(11-6-2-1-3-7-11)13-9-5-4-8-12(13)14/h1-10,17H",O=c1cc(O)c2ccccc2n1-c1ccccc1,760.2956546799152,False,['14994-75-3'],0.1470137503,6,,,
POOL-00000039,"InChI=1S/C14H10N2O/c17-14-11-8-4-5-9-12(11)15-13(16-14)10-6-2-1-3-7-10/h1-9H,(H,15,16,17)",Oc1nc(-c2ccccc2)nc2ccccc12,665.385910873377,False,['1022-45-3'],0.1480393726,6,,,
POOL-00017039,"InChI=1S/C15H11FN2O/c16-13-7-3-1-5-11(13)9-18-10-17-14-8-4-2-6-12(14)15(18)19/h1-8,10H,9H2",O=c1c2ccccc2ncn1Cc1ccccc1F,795.2526081703634,False,['141305-95-5'],0.1513019277,6,,,
POOL-00029280,InChI=1S/C14H10N2O/c17-14(16-8-7-15-10-16)13-6-5-11-3-1-2-4-12(11)9-13/h1-10H,O=C(c1ccc2ccccc2c1)n1ccnc1,671.5147747602389,False,['141903-34-6'],0.1579438613,6,,,
POOL-00001999,"InChI=1S/C15H14N2/c1-11-15(12-7-3-2-4-8-12)17-14-10-6-5-9-13(14)16-11/h2-11,16H,1H3",CC1Nc2ccccc2N=C1c1ccccc1,558.1443199233929,False,['1965304-90-8'],0.1737058576,6,,,
POOL-00016161,"InChI=1S/C13H12N2O/c16-13-8-4-7-12-11(13)9-14-15(12)10-5-2-1-3-6-10/h1-3,5-6,9H,4,7-8H2",O=C1CCCc2c1cnn2-c1ccccc1,528.1205519425188,False,['14823-31-5'],0.149893384,6,,,
POOL-00024669,"InChI=1S/C15H15FN2O/c16-12-7-5-11(6-8-12)10-13-15(19)18-9-3-1-2-4-14(18)17-13/h5-8,10H,1-4,9H2",O=C1C(=Cc2ccc(F)cc2)N=C2CCCCCN12,560.0132357720597,False,['306736-79-8'],0.1590950368,6,,,
POOL-00022993,"InChI=1S/C13H14N2O/c1-2-4-12-11(3-1)5-6-13(14-12)15-7-9-16-10-8-15/h1-6H,7-10H2",c1ccc2nc(N3CCOCC3)ccc2c1,492.0115055398957,False,['34500-40-8'],0.1590446739,6,,,
POOL-00037546,InChI=1S/C13H8N2O2/c16-12-10-5-1-2-6-11(10)13(17)15(12)9-4-3-7-14-8-9/h1-8H,O=C1c2ccccc2C(=O)N1c1cccnc1,572.8263443316054,False,['19171-27-8'],0.1642651968,6,,,
POOL-00008871,"InChI=1S/C13H15BrN2/c14-11-3-4-13-12(7-11)10(8-15-13)9-16-5-1-2-6-16/h3-4,7-8,15H,1-2,5-6,9H2",Brc1ccc2[nH]cc(CN3CCCC3)c2c1,497.6019450476448,False,['1108616-48-3'],0.166755417,6,,,
POOL-00028362,InChI=1S/C14H10N2O/c17-9-11-5-7-12(8-6-11)16-10-15-13-3-1-2-4-14(13)16/h1-10H,O=Cc1ccc(-n2cnc3ccccc32)cc1,668.0098872580755,False,['90514-72-0'],0.1494511968,6,,,
POOL-00028749,InChI=1S/C14H10N2O/c17-14-12-8-4-5-9-13(12)15-10-16(14)11-6-2-1-3-7-11/h1-10H,O=c1c2ccccc2ncn1-c1ccccc1,716.8737734683815,False,['16347-60-7'],0.1632961842,6,,,
POOL-00030518,InChI=1S/C13H8N2O2/c16-12-9-5-1-2-6-10(9)13(17)15(12)11-7-3-4-8-14-11/h1-8H,O=C1c2ccccc2C(=O)N1c1ccccn1,572.8263443316054,False,"['59208-49-0', '4514-90-3']",0.167085087,6,,,
POOL-00012049,"InChI=1S/C12H13NO2S/c14-16(15,10-6-2-1-3-7-10)13-11-8-4-5-9-12(11)13/h1-7,11-12H,8-9H2",O=S(=O)(c1ccccc1)N1C2CC=CCC21,507.2095590871819,False,['62035-90-9'],0.1476946823,6,,,
POOL-00033160,"InChI=1S/C16H13NO2/c18-10-13-9-17-16-14(13)7-4-8-15(16)19-11-12-5-2-1-3-6-12/h1-10,17H,11H2",O=Cc1c[nH]c2c(OCc3ccccc3)cccc12,701.1006074537738,False,['92855-65-7'],0.1970634076,6,,,
POOL-00013699,"InChI=1S/C15H12N2O2/c18-15(19)14-12-8-4-5-9-13(12)17(16-14)10-11-6-2-1-3-7-11/h1-9H,10H2,(H,18,19)",O=C(O)c1nn(Cc2ccccc2)c2ccccc12,732.245205754233,False,['41354-03-4'],0.1731563305,6,,,
POOL-00042409,"InChI=1S/C16H13N/c1-2-8-15(9-3-1)17-16-11-10-13-6-4-5-7-14(13)12-16/h1-12,17H",c1ccc(Nc2ccc3ccccc3c2)cc1,629.1061251510306,False,['135-88-6'],0.1475584866,6,"$52.30
Each/25 g",Check Availability,https://www.fishersci.com/shop/products/n-phenyl-2-naphthylamine-97-thermo-scientific/AC439910250#135-88-6
POOL-00032121,InChI=1S/C14H8BrNO2/c15-10-5-3-4-9(8-10)13-16-12-7-2-1-6-11(12)14(17)18-13/h1-8H,O=c1oc(-c2cccc(Br)c2)nc2ccccc12,779.8460447052365,False,['53463-67-5'],0.1449403532,6,,,
POOL-00037661,"InChI=1S/C16H12N2O/c17-16(19)13-10-15(11-6-2-1-3-7-11)18-14-9-5-4-8-12(13)14/h1-10H,(H2,17,19)",N=C(O)c1cc(-c2ccccc2)nc2ccccc12,751.0486079861877,False,['29197-45-3'],0.1806150973,6,,,
POOL-00041098,"InChI=1S/C16H13NO2/c18-10-13-9-17-16-7-6-14(8-15(13)16)19-11-12-4-2-1-3-5-12/h1-10,17H,11H2",O=Cc1c[nH]c2ccc(OCc3ccccc3)cc12,701.1006074537738,False,['6953-22-6'],0.1653269886,6,"$110.30
Each/1 g",Check Availability,https://www.fishersci.com/shop/products/5-benzyloxyindole-3-carboxaldehyde-98-thermo-scientific-1/AAL0111703#6953-22-6
POOL-00019761,"InChI=1S/C15H11NOS/c17-15-13-9-5-4-8-12(13)14(18-15)10-16-11-6-2-1-3-7-11/h1-10,17H",Oc1sc(C=Nc2ccccc2)c2ccccc12,700.8452757901795,False,['1164546-11-5'],0.1894130128,6,,,
POOL-00010292,"InChI=1S/C14H11NO/c15-12-6-7-13-11(8-12)9-14(16-13)10-4-2-1-3-5-10/h1-9H,15H2",Nc1ccc2oc(-c3ccccc3)cc2c1,625.535314052272,False,['77084-15-2'],0.1693702069,6,,,
POOL-00023015,"InChI=1S/C13H15NO2/c15-13-11-7-3-2-6-10(11)12(16-13)14-8-4-1-5-9-14/h2-3,6-7,12H,1,4-5,8-9H2",O=C1OC(N2CCCCC2)c2ccccc21,410.1485504588513,False,['84538-55-6'],0.145035678,6,,,
POOL-00028373,InChI=1S/C14H9FN2/c15-11-7-5-10(6-8-11)14-9-16-12-3-1-2-4-13(12)17-14/h1-9H,Fc1ccc(-c2cnc3ccccc3n2)cc1,662.385910873377,False,['449-46-7'],0.1554999919,6,,,
POOL-00034650,"InChI=1S/C14H11NO2S/c16-18(17,13-7-2-1-3-8-13)15-11-10-12-6-4-5-9-14(12)15/h1-11H",O=S(=O)(c1ccccc1)n1ccc2ccccc21,788.786760297014,False,['40899-71-6'],0.148792331,6,"$26.80
Each/1 g",Check Availability,https://www.fishersci.com/shop/products/1-phenylsulfonyl-indole-98-thermo-scientific/AAL1756603#40899-71-6
POOL-00032074,"InChI=1S/C17H13NO/c19-17-11-4-2-7-14(17)12-18-16-10-5-8-13-6-1-3-9-15(13)16/h1-12,19H",Oc1ccccc1C=Nc1cccc2ccccc12,741.5930590049679,False,['13962-95-3'],0.1913543498,6,,,
POOL-00034817,"InChI=1S/C12H10N2OS/c15-8-10-11(9-4-2-1-3-5-9)13-12-14(10)6-7-16-12/h1-5,8H,6-7H2",O=Cc1c(-c2ccccc2)nc2n1CCS2,533.4518307675359,False,['75224-64-5'],0.1446779885,6,,,
POOL-00037753,"InChI=1S/C13H10N2O/c16-13-9-5-1-2-6-10(9)14-11-7-3-4-8-12(11)15-13/h1-8,14H,(H,15,16)",OC1=Nc2ccccc2Nc2ccccc21,575.6502067182671,False,['5814-41-5'],0.1560272028,6,,,
POOL-00032352,InChI=1S/C14H10N2O/c17-14(11-6-2-1-3-7-11)16-10-15-12-8-4-5-9-13(12)16/h1-10H,O=C(c1ccccc1)n1cnc2ccccc21,670.764774760239,False,['62573-86-8'],0.1511006635,6,,,
POOL-00013290,"InChI=1S/C14H12N2S/c1-15-11-8-6-10(7-9-11)14-16-12-4-2-3-5-13(12)17-14/h2-9,15H,1H3",CNc1ccc(-c2nc3ccccc3s2)cc1,607.6359092913606,False,"['439858-28-3', '921193-28-4']",0.149582442,6,,,
POOL-00031903,"InChI=1S/C12H12N2OS/c1-15-10-4-2-9(3-5-10)11-8-16-12-13-6-7-14(11)12/h2-5,8H,6-7H2,1H3",COc1ccc(C2=CSC3=NCCN23)cc1,464.4120339060764,False,['75967-66-7'],0.1558041839,6,,,
POOL-00007532,"InChI=1S/C16H13NO2/c18-10-13-9-17-16-8-14(6-7-15(13)16)19-11-12-4-2-1-3-5-12/h1-10,17H,11H2",O=Cc1c[nH]c2cc(OCc3ccccc3)ccc12,701.1006074537738,False,['92855-64-6'],0.1477160866,6,"$137.60
Each/5 g",Check Availability,https://www.fishersci.com/shop/products/2-6-dimethyl-3-5-heptanedione-99-thermo-scientific/AC408360050#98.5-64-6
POOL-00008970,"InChI=1S/C15H14N2O/c1-12-10-17-9-5-8-14(15(17)16-12)18-11-13-6-3-2-4-7-13/h2-10H,11H2,1H3",Cc1cn2cccc(OCc3ccccc3)c2n1,658.570143323057,False,['79707-53-2'],0.1447914398,6,,,
POOL-00023159,"InChI=1S/C12H14N2OS/c1-2-15-11-10-8-5-3-4-6-9(8)16-12(10)14-7-13-11/h7H,2-6H2,1H3",CCOc1ncnc2sc3c(c12)CCCC3,520.9582718841949,False,['40277-50-7'],0.1574204454,6,,,
