ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu
POOL-00024993,"InChI=1S/C8H3F4NO/c9-7-2-1-5(13-4-14)3-6(7)8(10,11)12/h1-3H",O=C=Nc1ccc(F)c(C(F)(F)F)c1,392.8180196606487,False,['139057-86-6'],0.2450661932
POOL-00021842,"InChI=1S/C8H3F4NO/c9-6-1-5(8(10,11)12)2-7(3-6)13-4-14/h1-3H",O=C=Nc1cc(F)cc(C(F)(F)F)c1,392.8180196606487,False,['302912-19-2'],0.2507187027
POOL-00025291,"InChI=1S/C9H7F2NO/c10-9(11)13-8-3-1-7(2-4-8)5-6-12/h1-4,9H,5H2",N#CCc1ccc(OC(F)F)cc1,302.38589476880867,False,['41429-16-7'],0.2528694157
POOL-00043260,"InChI=1S/C8H4F3NO/c9-8(10,11)6-3-1-2-4-7(6)12-5-13/h1-4H",O=C=Nc1ccccc1C(F)(F)F,352.651926258578,False,['2285-12-3'],0.2433257593
POOL-00026368,"InChI=1S/C10H6F3NO/c11-10(12,13)9(15)8(6-14)7-4-2-1-3-5-7/h1-5,8H",N#CC(C(=O)C(F)(F)F)c1ccccc1,391.36879477128576,False,"['492-16-0', '175205-70-6']",0.2137606665
POOL-00024992,"InChI=1S/C8H3F4NO/c9-5-1-2-7(13-4-14)6(3-5)8(10,11)12/h1-3H",O=C=Nc1ccc(F)cc1C(F)(F)F,392.8180196606487,False,['190774-54-0'],0.2517282398
POOL-00013692,"InChI=1S/C10H6F3NO/c11-10(12,13)8-3-1-7(2-4-8)9(15)5-6-14/h1-4H,5H2",N#CCC(=O)c1ccc(C(F)(F)F)cc1,400.1610568938488,False,['71682-94-5'],0.2173922301
POOL-00007685,"InChI=1S/C9H6F3NO/c10-9(11,12)8-3-1-7(2-4-8)5-13-6-14/h1-4H,5H2",O=C=NCc1ccc(C(F)(F)F)cc1,349.3149705843873,False,['102422-55-9'],0.2513013295
POOL-00005002,"InChI=1S/C7H3BrF3NO/c8-5-2-12-6(7(9,10)11)1-4(5)3-13/h1-3H",O=Cc1cc(C(F)(F)F)ncc1Br,336.9998065232875,False,['944904-60-3'],0.2405723256
POOL-00030103,"InChI=1S/C10H6F3NO/c11-10(12,13)8-3-1-2-7(6-8)9(15)4-5-14/h1-3,6H,4H2",N#CCC(=O)c1cccc(C(F)(F)F)c1,417.41105689384887,False,['27328-86-5'],0.2153366213
POOL-00021964,"InChI=1S/C8H3BrF3NO/c9-5-1-2-7(13-4-14)6(3-5)8(10,11)12/h1-3H",O=C=Nc1ccc(Br)cc1C(F)(F)F,396.0631321584853,False,"['186589-12-8', '41513-02-4']",0.2493011128
