ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std
POOL-00004961,"InChI=1S/C8H6BrF3O2S/c1-15(13,14)7-3-2-5(4-6(7)9)8(10,11)12/h2-4H,1H3",CS(=O)(=O)c1ccc(C(F)(F)F)cc1Br,479.150415978043,False,['1820703-37-4'],0.1575519275
POOL-00026494,"InChI=1S/C9H7F3O2S/c10-9(11,12)15-7-4-2-1-3-6(7)5-8(13)14/h1-4H,5H2,(H,13,14)",O=C(O)Cc1ccccc1SC(F)(F)F,362.62024384389065,False,['239080-01-4'],0.1433584255
POOL-00031222,"InChI=1S/C10H5F6N/c11-9(12,13)7-3-6(1-2-17)4-8(5-7)10(14,15)16/h3-5H,1H2",N#CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,419.084643967819,False,['85068-32-2'],0.1501699991
POOL-00025720,"InChI=1S/C12H11F3O3/c1-2-18-11(17)7-10(16)8-3-5-9(6-4-8)12(13,14)15/h3-6H,2,7H2,1H3",CCOC(=O)CC(=O)c1ccc(C(F)(F)F)cc1,434.8760118809773,False,['106263-53-0'],0.1468572487
POOL-00024974,"InChI=1S/C9H3F6NO/c10-8(11,12)5-1-6(9(13,14)15)3-7(2-5)16-4-17/h1-3H",O=C=Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,437.10491468786097,False,['16588-74-2'],0.153264476
POOL-00041274,"InChI=1S/C8H7F7O2/c1-4(2)5(16)17-3-6(9,10)7(11,12)8(13,14)15/h1,3H2,2H3",C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,318.32560884252564,False,"['13695-31-3', '152751-58-1', '31623-04-8']",0.1479377393
POOL-00034723,"InChI=1S/C7H9F3O3S/c8-7(9,10)14(11,12)13-6-4-2-1-3-5-6/h4H,1-3,5H2",O=S(=O)(OC1=CCCCC1)C(F)(F)F,328.5794076507725,False,['28075-50-5'],0.148897413
POOL-00028032,"InChI=1S/C10H7F6NO/c1-5(18)17-8-3-6(9(11,12)13)2-7(4-8)10(14,15)16/h2-4H,1H3,(H,17,18)",CC(O)=Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,437.986740476674,False,['16143-84-3'],0.1582839788
POOL-00025208,"InChI=1S/C10H5BrF6O/c11-4-8(18)5-1-6(9(12,13)14)3-7(2-5)10(15,16)17/h1-3H,4H2",O=C(CBr)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,430.1662006968518,False,['131805-94-2'],0.1427632822
POOL-00026311,"InChI=1S/C8H8F8O2/c9-5(10)7(13,14)8(15,16)6(11,12)3-17-1-4-2-18-4/h4-5H,1-3H2",FC(F)C(F)(F)C(F)(F)C(F)(F)COCC1CO1,288.8215477433608,False,['19932-27-5'],0.1454117561
