ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,fisher-price,fisher-avail,fisher-url,sigma-price,sigma-avail,sigma-url
POOL-00031102,"InChI=1S/C12H13F3O/c1-2-3-4-9-5-7-10(8-6-9)11(16)12(13,14)15/h5-8H,2-4H2,1H3",CCCCc1ccc(C(=O)C(F)(F)F)cc1,351.52177667990776,False,['40739-44-4'],0.2281794423,1,,,,$247.16/1 g,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/riekemetalsinc/rie156328894?context=bbe
POOL-00020460,"InChI=1S/C7H6Br2O3/c1-2-11-7(10)6-4(8)3-5(9)12-6/h3H,2H2,1H3",CCOC(=O)c1oc(Br)cc1Br,292.84163709837384,False,['32487-57-3'],0.2203281918,1,,,,$28.60/50MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s814628
POOL-00040523,"InChI=1S/C7H6F6O2/c1-3(2)4(14)15-5(6(8,9)10)7(11,12)13/h5H,1H2,2H3",C=C(C)C(=O)OC(C(F)(F)F)C(F)(F)F,249.6344251019696,False,"['3063-94-3', '28825-23-2']",0.2473482601,1,"$45.75
Each/5g",Check Availability,https://www.fishersci.com/shop/products/1-1-1-3-3-3-hexafluoroisopropyl-methacrylate-99-stab-thermo-scientific-2/AAB2144706#3063-94-3,$7.70/1 g,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh97ba07cc?context=bbe
POOL-00036943,"InChI=1S/C7H3BrF3NO2/c8-6-2-1-4(12(13)14)3-5(6)7(9,10)11/h1-3H",O=[N+]([O-])c1ccc(Br)c(C(F)(F)F)c1,377.6879236408014,False,['367-67-9'],0.2164817912,1,"$35.85
Each/5g",Check Availability,https://www.fishersci.com/shop/products/2-bromo-5-nitrobenzotrifluoride-97-thermo-scientific/AAA1141606#367-67-9,$31.20/5 G,"Only 3 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/365769
POOL-00024974,"InChI=1S/C9H3F6NO/c10-8(11,12)5-1-6(9(13,14)15)3-7(2-5)16-4-17/h1-3H",O=C=Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,437.10491468786097,False,['16588-74-2'],0.2498997145,1,"$38.55
Each/1g",Check Availability,https://www.fishersci.com/shop/products/3-5-bis-trifluoromethyl-phenyl-isocyanate-98-thermo-scientific-3/AC314170010#16588-74-2,$45.00/1 G,"Available to ship on October 06, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/374857
POOL-00024984,"InChI=1S/C8H5F2NO2/c9-8(10)13-7-3-1-6(2-4-7)11-5-12/h1-4,8H",O=C=Nc1ccc(OC(F)F)cc1,317.42084098634456,False,['58417-15-5'],0.2141562749,1,,,,$141.00/1 G,"Estimated to ship on November 02, 2022",https://www.sigmaaldrich.com/US/en/product/aldrich/487295
POOL-00005543,InChI=1S/C5H3Br2NO2S/c1-10-4(9)2-3(6)11-5(7)8-2/h1H3,COC(=O)c1nc(Br)sc1Br,286.0098267951167,False,['914347-25-4'],0.2176611849,1,,,,,,
POOL-00038354,"InChI=1S/C8H8Br2O2/c1-11-7-3-6(10)8(12-2)4-5(7)9/h3-4H,1-2H3",COc1cc(Br)c(OC)cc1Br,256.88150377072884,False,['2674-34-2'],0.2249374164,1,"$126.80
Each/10g",Check Availability,https://www.fishersci.com/shop/products/1-4-dibromo-2-5-dimethoxybenzene-98-thermo-scientific/AAA1985809#2674-34-2,$55.00/5 G,"Estimated to ship on October 27, 2022",https://www.sigmaaldrich.com/US/en/product/aldrich/461105
POOL-00000582,"InChI=1S/C6H3Br2FO2S/c7-4-1-2-5(8)6(3-4)12(9,10)11/h1-3H",O=S(=O)(F)c1cc(Br)ccc1Br,402.0091542968489,False,['1092278-47-1'],0.2444829125,1,,,,$36.40/1 g,Ships in 30 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/enah30470af9?context=bbe
POOL-00035716,"InChI=1S/C8H4F3NO2/c9-8(10,11)14-7-3-1-6(2-4-7)12-5-13/h1-4H",O=C=Nc1ccc(OC(F)(F)F)cc1,351.84429559736816,False,['35037-73-1'],0.21467792,1,$26.30 / Each/5g ,Check Availability,,,,
