ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,fisher-price,fisher-avail,fisher-url,sigma-price,sigma-avail,sigma-url
POOL-00025739,"InChI=1S/C11H11F3O/c1-2-3-8-4-6-9(7-5-8)10(15)11(12,13)14/h4-7H,2-3H2,1H3",CCCc1ccc(C(=O)C(F)(F)F)cc1,337.84582105186126,False,['107713-67-7'],0.226399039,1,,,,$247.16/1 g,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/riekemetalsinc/rie156328893?context=bbe
POOL-00030516,"InChI=1S/C8H6Br2O2/c1-12-8(11)6-4-5(9)2-3-7(6)10/h2-4H,1H3",COC(=O)c1cc(Br)ccc1Br,309.92621196610224,False,['57381-43-8'],0.2453342061,1,"$159.90
Each/25g",Check Availability,,$188.00/25 G,"Only 2 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/532894
POOL-00032934,"InChI=1S/C10H15F3O2/c11-10(12,13)9(14)15-8-6-4-2-1-3-5-7-8/h8H,1-7H2",O=C(OC1CCCCCCC1)C(F)(F)F,205.2032654573864,False,['1478-73-5'],0.239108469,1,,,,$28.60/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s345075
POOL-00026229,"InChI=1S/C11H9F3O3/c1-2-17-10(16)9(15)7-3-5-8(6-4-7)11(12,13)14/h3-6H,2H2,1H3",CCOC(=O)C(=O)c1ccc(C(F)(F)F)cc1,420.58295075875424,False,['73790-06-4'],0.2196051716,1,,,,,,
POOL-00043659,"InChI=1S/C10H10O2/c1-7(11)9-4-3-5-10(6-9)8(2)12/h3-6H,1-2H3",CC(=O)c1cccc(C(C)=O)c1,297.1153937102906,False,['6781-42-6'],0.2567513367,1,"$33.75
Each/1g",Check Availability,https://www.fishersci.com/shop/products/1-3-diacetylbenzene-97-thermo-scientific/AAB2188003#6781-42-6,$197.00/10 G,"Only 3 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/158984
POOL-00037701,"InChI=1S/C10H5F5O2/c1-3(2)10(16)17-9-7(14)5(12)4(11)6(13)8(9)15/h1H2,2H3",C=C(C)C(=O)Oc1c(F)c(F)c(F)c(F)c1F,480.9031007183648,False,"['13642-97-2', '111886-03-4']",0.2450404627,1,"$112.30
Each/1g",Check Availability,,$108.00/1 G,"Available to ship on October 06, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/741108
POOL-00037333,"InChI=1S/C8H6F3NO2/c1-5-4-6(8(9,10)11)2-3-7(5)12(13)14/h2-4H,1H3",Cc1cc(C(F)(F)F)ccc1[N+](=O)[O-],373.3394080952047,False,['67192-42-1'],0.2177190541,1,"$138.30
Each of 1/1g",Check Availability,https://www.fishersci.com/shop/products/3-methyl-4-nitrobenzotrifluoride-97-thermo-scientific-1/AC446460010#67192-42-1,$167.00/1 G,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/mno000058
POOL-00006895,"InChI=1S/C9H8Br2O2/c1-13-9(12)7-3-2-6(5-10)4-8(7)11/h2-4H,5H2,1H3",COC(=O)c1ccc(CBr)cc1Br,323.3907822709721,False,['128577-48-0'],0.2465366324,1,,,,$22.00/100 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h315b11ca?context=bbe
POOL-00007652,"InChI=1S/C10H9F3O2/c11-10(12,13)7-1-3-8(4-2-7)14-5-9-6-15-9/h1-4,9H,5-6H2",FC(F)(F)c1ccc(OCC2CO2)cc1,327.5158918826268,False,['198226-65-2'],0.2247345372,1,,,,$196.30/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/enah90823050?context=bbe
POOL-00006762,"InChI=1S/C9H13F3O2/c1-14-8(13)6-2-4-7(5-3-6)9(10,11)12/h6-7H,2-5H2,1H3",COC(=O)C1CCC(C(F)(F)F)CC1,204.59283136795787,False,['1204296-05-8'],0.255111586,1,,,,,,
POOL-00039652,"InChI=1S/C8H5F3O2/c9-8(10,11)7(12)13-6-4-2-1-3-5-6/h1-5H",O=C(Oc1ccccc1)C(F)(F)F,292.00749079111904,False,['500-73-2'],0.2535894916,1,"$63.30
Each of 1/25g",Check Availability,https://www.fishersci.com/shop/products/phenyl-trifluoroacetate-98-thermo-scientific-1/AAB2130414#500-73-2,$163.00/25 ML,"Only 4 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/413062
POOL-00026262,"InChI=1S/C7H6F6O2/c1-2-4(14)15-3-6(9,10)5(8)7(11,12)13/h2,5H,1,3H2",C=CC(=O)OCC(F)(F)C(F)C(F)(F)F,246.35518981440748,False,"['54052-90-3', '86227-80-7']",0.2420721148,1,,,,$325.00/25 ML,"Estimated to ship on November 21, 2022",https://www.sigmaaldrich.com/US/en/product/aldrich/474452
POOL-00000607,"InChI=1S/C6H3BrF2O2S/c7-5-3-4(8)1-2-6(5)12(9,10)11/h1-3H",O=S(=O)(F)c1ccc(F)cc1Br,402.0091542968489,False,['1675732-46-3'],0.2458710927,1,,,,,,
POOL-00030483,"InChI=1S/C8H8F6O2/c1-4(2)5(15)16-3-7(10,11)6(9)8(12,13)14/h6H,1,3H2,2H3",C=C(C)C(=O)OCC(F)(F)C(F)C(F)(F)F,282.7433477087454,False,"['36405-47-7', '64376-86-9']",0.2389438628,1,"$205.00
Each/25g",Check Availability,https://www.fishersci.com/shop/products/2-2-3-4-4-4-hexafluorobutyl-methacrylate-96-stab-thermo-scientific/AAL0954314#36405-47-7,$63.00/5 G,"Available to ship on October 06, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/371971
POOL-00009542,"InChI=1S/C7H6F3NO2S/c1-2-13-5(12)4-3-11-6(14-4)7(8,9)10/h3H,2H2,1H3",CCOC(=O)c1cnc(C(F)(F)F)s1,333.92105238960744,False,['131748-96-4'],0.2188024111,1,,,,$99.20/1 G,"Available to ship on October 06, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/772534
POOL-00031204,"InChI=1S/C10H8F5NO/c1-4(2)16-17-3-5-6(11)8(13)10(15)9(14)7(5)12/h3H2,1-2H3",CC(C)=NOCc1c(F)c(F)c(F)c(F)c1F,439.2494410041995,False,['899828-53-6'],0.2424640228,1,,,,$694.10/100 mg,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh97ba0e94?context=bbe
POOL-00030718,"InChI=1S/C8H7F3O3S/c1-6-2-4-7(5-3-6)14-15(12,13)8(9,10)11/h2-5H,1H3",Cc1ccc(OS(=O)(=O)C(F)(F)F)cc1,433.194853060382,False,['29540-83-8'],0.2206277311,1,,,,$16.50/1 g,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh97ba0c41?context=bbe
POOL-00024714,"InChI=1S/C7H6F2O2S/c8-7(9)12-4-6-2-1-5(3-10)11-6/h1-3,7H,4H2",O=Cc1ccc(CSC(F)F)o1,259.6639839549585,False,['730992-73-1'],0.2301615821,1,,,,$244.40/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/ena018110071?context=bbe
POOL-00026228,"InChI=1S/C11H9F3O3/c1-2-17-10(16)9(15)7-4-3-5-8(6-7)11(12,13)14/h3-6H,2H2,1H3",CCOC(=O)C(=O)c1cccc(C(F)(F)F)c1,437.8329507587544,False,['110193-60-7'],0.2169916893,1,,,,$253.00/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/achemblock/advh14dbba39?context=bbe
POOL-00036869,"InChI=1S/C7H7F5O2/c1-4(2)5(13)14-3-6(8,9)7(10,11)12/h1,3H2,2H3",C=C(C)C(=O)OCC(F)(F)C(F)(F)F,242.95493431897629,False,['45115-53-5'],0.2465953605,1,"$199.30
Each/25g",Check Availability,,$241.00/5 ML,"Available to ship on October 06, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/474193
POOL-00034723,"InChI=1S/C7H9F3O3S/c8-7(9,10)14(11,12)13-6-4-2-1-3-5-6/h4H,1-3,5H2",O=S(=O)(OC1=CCCCC1)C(F)(F)F,328.5794076507725,False,['28075-50-5'],0.2189025242,1,,,,$198.00/5 G,"Only 3 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/480584
POOL-00027140,"InChI=1S/C9H11BrO2/c1-11-8-3-7(6-10)4-9(5-8)12-2/h3-5H,6H2,1-2H3",COc1cc(CBr)cc(OC)c1,205.47278053050763,False,['877-88-3'],0.233306088,1,"$89.70
Each of 1/5g",Check Availability,https://www.fishersci.com/shop/products/3-5-dimethoxybenzyl-bromide-95-thermo-scientific/AC427340050#877-88-3,$146.00/5 G,"Available to ship on October 06, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/480622
POOL-00011364,InChI=1S/C6H2Br2O2S/c7-5-3(1-9)11-4(2-10)6(5)8/h1-2H,O=Cc1sc(C=O)c(Br)c1Br,277.2760821081893,False,['25373-20-0'],0.2432099622,1,,,,$172.00/1 G,"Estimated to ship on November 02, 2022",https://www.sigmaaldrich.com/US/en/product/aldrich/696722
